Емельян Адамович Дементьев;Россошь;ул. Суворова, д. 9;Группа Ренессанс Страхование;Сексолог;+78221102122;voronovladislav@rambler.ru;1967-01-17;26146
Одинцова Регина Яковлевна;Дзержинск;бул. Водников, д. 9/7;Юнипро (Uniper);Министр;8 (449) 625-1977;nifont_07@gmail.com;1977-11-07;172594
Потапова Агата Матвеевна;Верхний Тагил;ул. Полевая, д. 23;Русская медная компания;Фармацевт;8 (478) 423-79-78;amos1996@gmail.com;1993-03-14;59100
Сильвестр Гавриилович Евдокимов;Холмск;алл. Кирпичная, д. 8;Конар;Тюремный надзиратель;+7 (867) 390-6711;evpraksija_70@rambler.ru;1955-05-21;124917
Белозеров Исидор Ермолаевич;Троицко-Печорск;пер. Терешковой, д. 18;Сибирский антрацит;Таможенник;+75135899957;denis_2003@yahoo.com;1974-11-26;85907
Стрелкова Лидия Егоровна;Томари;ул. Портовая, д. 660 к. 7;Московская биржа ММВБ-РТС;Экономист;8 (632) 946-3350;mina13@yandex.ru;1957-04-10;72420
Савин Лазарь Игнатьевич;Усинск;алл. Красная, д. 5/9 стр. 67;Артис-Агро Экспорт;Военный юрист;+7 475 247 4643;nonna42@yandex.ru;1972-12-10;47547
Нестеров Творимир Изотович;Анапа;алл. Дачная, д. 412 к. 690;ГК Мега-Авто;Переводчик;8 (301) 074-0573;sazonovasinklitikija@hotmail.com;1952-06-01;101394
Ладислав Еремеевич Тимофеев;Александров;бул. Васильковый, д. 63 к. 225;ММС Рус (Mitsubishi Motors);Зоолог;+7 (295) 122-3576;rkotov@yandex.ru;1975-02-21;109089
Элеонора Кузьминична Агафонова;Мостовской;пер. Волочаевский, д. 8/3 стр. 4/8;Квадра;Подводник;+7 (261) 735-1979;ivanovamarfa@hotmail.com;1957-07-12;187497
Синклитикия Рудольфовна Исакова;Верхотурье;наб. Челюскинцев, д. 29 стр. 192;Петропавловск;Военный консультант;8 (576) 330-90-95;ksenija48@yandex.ru;1960-05-12;192592
Фока Жанович Герасимов;Стерлитамак;бул. Коммунальный, д. 5/8 стр. 6/3;Softline;Автослесарь;+7 316 623 0189;gavrilovamaja@mail.ru;1987-04-20;156831
Веселов Бажен Тарасович;Североморск;алл. Коллективная, д. 9/3;Агентство по страхованию вкладов (АСВ);Юрист;86449925340;mihail_19@yahoo.com;1981-12-09;49526
Лебедев Евстафий Демьянович;Токсово;ул. Космодемьянской, д. 876 стр. 512;ПСК;Программист;+7 891 352 0631;wodintsova@yandex.ru;1970-09-26;66890
Ольга Ильинична Карпова;Слюдянка;наб. Добролюбова, д. 349;КМР и СНГ (KIA);Массажист;+7 (859) 207-98-14;vasili_1985@hotmail.com;1985-03-07;193645
Мухин Аникита Авдеевич;Терскол;ул. Водопроводная, д. 622 стр. 6/9;Импэкснефтехим;Рихтовщик;+7 341 743 7568;ostromir1982@yandex.ru;1991-09-20;123401
Трофимов Артемий Евстигнеевич;Якша;алл. Одесская, д. 3 к. 273;Денцу Эйджис Си Эс (Dentsu);Начальник военного оркестра;+7 (877) 231-67-75;gerasimovnikita@yahoo.com;1991-12-31;126805
Якушев Никанор Всеволодович;Сосьва (Хант.);пер. Зои Космодемьянской, д. 1 к. 2/4;Авторусь;Начальник штаба;+7 528 408 08 33;pantelemon2018@mail.ru;1955-02-13;141275
Кондратий Иосифович Новиков;Борзя;пер. Кленовый, д. 4/7;Райффайзенбанк (Raiffeisen);Мастер маникюра;+7 (240) 615-4279;sidorovaantonina@mail.ru;1997-06-13;69900
Фролов Савватий Тихонович;Адыгейск;бул. Макарова, д. 3 к. 9/2;Старттех;Судья;+7 179 170 01 54;karlbespalov@mail.ru;1974-02-11;56668
Рожкова Глафира Аркадьевна;Озеры;алл. Щорса, д. 7 стр. 798;Шнейдер Электрик (Schneider Electric);Военный дознаватель;+7 458 872 5312;rozhkovaemilija@mail.ru;1986-12-06;150169
Никон Александрович Николаев;Ступино;алл. Полевая, д. 5 стр. 177;КамАЗ;Инженер-акустик;+7 (058) 581-3595;maslovavasilisa@yandex.ru;1978-03-29;59906
Маркова Евфросиния Матвеевна;Яшалта;бул. Куйбышева, д. 129 стр. 6;НПК Уралвагонзавод;Инженер-акустик;+7 235 988 1993;longin1994@mail.ru;1970-07-21;128096
Гремислав Феодосьевич Павлов;Барнаул;алл. Геологическая, д. 8/2 стр. 2;«Томскнефть» ВНК;Аллерголог;8 021 390 8791;fedoseevanonna@yahoo.com;1970-01-03;118625
Фаина Викторовна Волкова;Истра;ш. Базарное, д. 29 к. 53;НМЖК;Лифтёр;+7 590 711 82 92;andron1985@yahoo.com;1995-05-23;34434
Авксентий Евстигнеевич Соловьев;Верхнее Пенжино;ул. Леонова, д. 84 к. 7;Группа УГМК;Токарь;+7 872 909 37 52;varvara12@yandex.ru;1965-03-26;115298
Панов Илья Григорьевич;Аша;ш. Черняховского, д. 7/9;Мария-Ра;Издатель;8 562 854 1920;korolevanaina@hotmail.com;1959-03-08;189247
Константинов Стоян Ермолаевич;Дербент;бул. Щетинкина, д. 93;171 Меридиан;Командир;8 904 196 78 02;blohinaristarh@gmail.com;1974-02-18;121911
Суворов Аполлинарий Зиновьевич;Красная Поляна;ш. Дружба, д. 32;Продимекс-Холдинг;Торакальный хирург;8 (864) 547-04-63;epifan_1984@yandex.ru;1972-11-28;148889
Сорокин Лукьян Эдуардович;Грозный;ш. Запрудное, д. 2/9;Нестле Россия (Nestle);Гастроэнтеролог;8 314 818 1969;sermakov@mail.ru;1987-08-25;172973
Ия Валериевна Силина;Дмитров;пр. Юности, д. 9/2 к. 527;ГК Эфко;Клинер;+7 100 964 40 14;svjatoslav59@mail.ru;1998-08-03;172530
Михей Ильясович Кононов;Колпашево;бул. Спортивный, д. 8/4 к. 127;Стройгазмонтаж;Андролог;84265260672;narkis2006@yandex.ru;2003-09-29;73417
Сильвестр Дмитриевич Дементьев;Апатиты;пер. Химиков, д. 249;Роскосмос;Кок;+7 375 243 3801;onufri_1998@yahoo.com;1981-10-15;186635
Тамара Антоновна Суханова;Пятигорск;наб. Зеленая, д. 326 к. 651;Eurasia Drilling Company;Ортопед;8 (914) 638-1705;hanisimov@mail.ru;1977-01-02;107899
Моисеева Полина Натановна;Мичуринск;наб. Ивановская, д. 30 стр. 43;Сургутнефтегаз;Воздухоплаватель;82776308032;konstantinovavarvara@gmail.com;1990-10-04;102623
Авдеева Таисия Николаевна;Ногинск (Моск.);пер. Большой, д. 6/4;ФМСМ (PMI);Авиационный техник;8 248 402 02 90;qkononova@mail.ru;1984-01-25;54487
Галина Андреевна Сысоева;Бологое;наб. Республиканская, д. 73 стр. 84;СК Росгосстрах;Воспитатель;8 (522) 215-33-89;lukafrolov@gmail.com;1994-04-21;156034
Лазарь Матвеевич Сидоров;Мытищи;алл. Пионерская, д. 7/8 стр. 2;Группа ГАЗ;Наводчик орудия;+7 467 469 1889;borislavbogdanov@yahoo.com;1969-05-12;173682
Лукия Афанасьевна Алексеева;Котельнич;пер. Строительный, д. 8/9 к. 8;НПО Алмаз;Гитарист;+7 (813) 676-05-91;ippolit_28@hotmail.com;1977-04-11;186748
Лонгин Егорович Ильин;Старая Русса;наб. Карла Либкнехта, д. 55;Акционерный банк Россия;Гитарист;8 539 216 88 49;kozlovasvetlana@hotmail.com;2002-01-03;29163
Моисеева Вера Павловна;Ростов-на-Дону;пер. Гастелло, д. 6 стр. 7/6;Railgo;Массажист;+7 (800) 288-56-52;gvladimirova@hotmail.com;1989-11-03;147767
Ершова Агата Оскаровна;Нефтекамск;бул. Геологов, д. 255 к. 30;Группа Мэйджор;Переплётчик;+73604488209;avdematveev@gmail.com;1983-02-24;179889
Амос Алексеевич Воронцов;Кабанск;наб. Новоселов, д. 3/6 стр. 68;Монетка;Предприниматель;8 970 709 07 26;jorlov@yahoo.com;1977-05-09;40129
Ольга Натановна Устинова;Коломна;наб. Космодемьянской, д. 825 стр. 40;Трубная грузовая компания;Парикмахер;89281314406;kondratribakov@yahoo.com;1965-11-12;157228
Алла Владиславовна Пестова;Улан-Удэ;ул. Суворова, д. 9/2;БАСФ (BASF);Начальник службы;84042935404;odintsovaagata@mail.ru;1954-06-12;103944
Ефрем Брониславович Шашков;Пинега;наб. Цветочная, д. 7/6 стр. 350;Загорский трубный завод;Штурман;+7 (666) 791-7149;andronik1996@yahoo.com;1952-06-23;112882
Василиса Макаровна Трофимова;Усть-Кулом;ул. Коммуны, д. 80 стр. 7;Русал;Культуролог;8 (488) 845-08-39;sisoevkazimir@rambler.ru;1995-06-05;189893
Никитин Владимир Гавриилович;Белый Яр (Томск.);ул. Прибрежная, д. 7/7;ЛГ Электроникс Рус (LG);Инфекционист;89000912944;samsonfokin@rambler.ru;1984-09-10;67986
Ульяна Геннадьевна Моисеева;Кандалакша;ш. Путейское, д. 632;Юг Руси;Садовник;+7 (710) 785-8556;hpetrova@rambler.ru;1979-08-14;186472
Хохлова Маргарита Валериевна;Горно-Алтайск;ул. Ольховая, д. 4/8 стр. 5;Щекиноазот;Библиотекарь;+7 (073) 546-62-58;danilovamaja@yandex.ru;1953-11-09;36788
Анжела Анатольевна Тарасова;Терскол;ул. Кедровая, д. 4/6 к. 18;Вертолеты России;Предприниматель;+7 (409) 481-16-56;averki2004@gmail.com;1961-08-21;172190
Силин Радован Венедиктович;Лабытнанги;ул. 8 Марта, д. 22;СК Росгосстрах;Инженер-гальваник;+7 375 565 77 78;stanimirkotov@yandex.ru;2003-07-21;171683
Михаил Васильевич Игнатьев;Октябрьское (Хант.);наб. Тихая, д. 3/3;Сименс (Siemens);Снабженец;+7 615 441 03 10;vasilisa1974@hotmail.com;1970-03-28;137650
Дроздова Лора Антоновна;Геленджик;пр. Амурский, д. 5/5;Банк Возрождение;Таксист;8 (408) 132-6456;angelina26@yandex.ru;1964-03-21;32378
Нинель Александровна Никифорова;Камень-на-Оби;пер. Р.Люксембург, д. 239 к. 505;Петролеум Трейдинг;Флорист;83540028631;maksimiljan2007@yandex.ru;2003-04-01;159153
Регина Андреевна Одинцова;Ишим;алл. Кошевого, д. 9/8 к. 2/8;Архангельский ЦБК;Машинистка;+7 771 237 31 43;sofon2013@rambler.ru;1964-04-25;30785
Раиса Васильевна Одинцова;Южно-Курильск;пер. Звездный, д. 7/5;ОТП Банк;Логопед;88454354186;prov2000@yandex.ru;1984-08-17;182700
Бобылев Валерий Феоктистович;Домодедово;алл. 50 лет ВЛКСМ, д. 4/8 стр. 7;ФК Гранд Капитал;Футуролог;8 338 689 7609;rozhkovirakli@mail.ru;1973-05-04;183011
Суханова Ангелина Владимировна;Воркута;пер. Красина, д. 63 к. 5;Сибуглемет;Серпентолог;+7 (804) 351-73-88;nonna_69@yahoo.com;1964-01-17;134564
Хохлов Карп Иларионович;Октябрьское (Челяб.);наб. Суворова, д. 455 стр. 544;Интернешнл Пейпер (International Paper);Растениевод;8 (663) 793-75-22;onazarov@hotmail.com;1954-01-27;172378
Якушев Станислав Игоревич;Колпашево;наб. Таманская, д. 2/1;Р-Фарм;Логопед;8 221 436 0796;gshestakov@yandex.ru;1988-03-31;142429
Григорий Феликсович Жданов;Ямбург;ул. Буденного, д. 4 к. 4/1;Независимая нефтегазовая компания;Футуролог;8 (035) 322-64-90;ignati22@yahoo.com;1959-03-05;175069
Вишнякова Евгения Константиновна;Магадан;пр. Никитина, д. 8/9;Фаберлик;Серпентолог;+7 677 332 4737;vladimir_80@hotmail.com;1992-03-10;100138
Всеволод Викентьевич Воронцов;Томари;бул. Р.Люксембург, д. 7 стр. 49;Слата супермаркет;Кредитный консультант;+7 751 741 95 69;mechislavzimin@gmail.com;1987-12-27;126072
Дементьев Дементий Жоресович;Сергиев Посад;алл. Макаренко, д. 6 к. 6/6;Кордиант;Снабженец;80154602635;filaret1982@mail.ru;1989-03-27;97960
Евсей Демьянович Дьячков;Комсомольск-на-Амуре;наб. Детская, д. 79;ФМСМ (PMI);Коммерческий директор;8 (431) 625-34-75;solovevnikandr@gmail.com;1978-08-24;155760
Андроник Гертрудович Брагин;Шадринск;пр. 30 лет Победы, д. 828 стр. 769;Газнефтетрэйдинг;Политолог;8 602 166 82 30;sidorovaeleonora@rambler.ru;1966-08-01;118235
Гришина Анастасия Афанасьевна;Верхнее Пенжино;ул. Полярная, д. 51 стр. 90;ФК Гранд Капитал;Лекальщик;+79627567628;fominaangelina@rambler.ru;1991-11-04;118975
Раиса Филипповна Владимирова;Абакан;ул. Высоцкого, д. 6/9;ТАИФ-НК;Фтизиатр;8 (366) 002-48-70;avtonomfedotov@gmail.com;1967-03-30;184352
Устин Валерианович Вишняков;Домодедово;ш. Юности, д. 24;ПК Борец;Мотострелок;80118017059;lukjan64@gmail.com;1955-03-13;62619
Тамара Руслановна Калашникова;Сибай;наб. Портовая, д. 31 стр. 7;ВЭБ.РФ;Философ;+7 (853) 461-38-05;trifon65@rambler.ru;1979-03-28;37895
Пестов Егор Глебович;Сузун;ул. Островского, д. 27 стр. 75;НПФ Газфонд пенсионные накопления;Авиатехник;8 (598) 869-7688;davidovjaropolk@mail.ru;1997-10-22;38553
Гаврилов Олег Егорович;Щельяюр;наб. 30 лет Победы, д. 2 стр. 74;Боэс Констракшн (Boes Construction);Лингвист;+7 (135) 853-2127;egor70@gmail.com;1992-06-17;99512
Рогов Мстислав Федотович;Палана;наб. Городская, д. 24 к. 2/4;Леруа Мерлен Восток (Leroi Merlin);Проректор;+7 167 866 06 22;jakov_47@yahoo.com;1987-08-17;127711
Петров Капитон Валерианович;Каменск-Шахтинский;алл. Новгородская, д. 79 к. 70;АвтоВАЗ;Скотник;+75295529618;militsa2000@yahoo.com;1964-03-22;56176
Акулина Борисовна Казакова;Сунтар;бул. Лермонтова, д. 4/6 стр. 7/9;Мосгортранс;Ихтиолог;8 (134) 574-34-46;fokindobroslav@mail.ru;1989-08-03;57432
Ситников Амос Бенедиктович;Кашхатау;пр. Минский, д. 555 к. 74;Денцу Эйджис Си Эс (Dentsu);Эфферентолог;+7 (778) 573-3578;amvrosi_49@gmail.com;1998-08-28;178984
Анжелика Петровна Ершова;Печора;ул. Волгоградская, д. 76 к. 1;Северсталь;Антрополог;+76930946892;gorde_2010@mail.ru;2001-02-07;88297
Герасимова Раиса Борисовна;Златоуст;бул. Бажова, д. 669 стр. 6;ГК Автомир;Грузчик;+73866279425;isidor_2007@mail.ru;1979-08-02;59375
г-н Кузнецов Алексей Захарьевич;Чусовой;алл. Гвардейская, д. 9/9 к. 6/2;Ростсельмаш;Хлебопёк;+7 (747) 945-7100;avde_39@rambler.ru;1962-11-01;163464
Мина Валентинович Горшков;Ессентуки;пр. Малый, д. 8/5 к. 421;Восточный экспресс банк;Печатник;8 349 485 5366;klavdija_1988@rambler.ru;1957-06-17;73907
Юлия Игоревна Третьякова;Борзя;наб. Фурманова, д. 3;Банк Ак Барс;Аналитик;+7 (848) 389-3800;maksimovviktor@hotmail.com;2001-08-10;110081
Маргарита Леоновна Крылова;Балашиха;пр. Октябрьский, д. 6/7;ПСК;Парфюмер;8 721 331 29 11;ereme_1999@rambler.ru;1954-10-26;152788
Матвей Якубович Некрасов;Южно-Сахалинск;ш. Майское, д. 34 к. 4/5;Газпром;Фуражир;+7 905 713 00 05;irjabova@yandex.ru;1967-07-15;173418
Григорьева Наина Георгиевна;Калачинск;пер. Спортивный, д. 4;Каргилл (Cargill);Повар;+75228395908;mitofan1979@rambler.ru;1955-10-31;26266
Суворов Милован Терентьевич;Новочеркасск;пр. Леваневского, д. 8 стр. 3/8;Концерн Титан-2;Лифтёр;+7 277 224 40 87;suhanovaljubov@rambler.ru;1986-04-27;87617
Давыдова Таисия Сергеевна;Кабанск;пер. Ленинский, д. 144 стр. 156;МТС-банк;Каптенармус;+7 (166) 421-73-95;lefimov@yandex.ru;1968-12-11;148776
Влас Федотович Носков;Бронницы;ул. Приозерная, д. 865 стр. 888;ГК Эфко;Маркшейдер;8 (386) 397-22-45;vissarion_2002@hotmail.com;1977-06-06;90678
Петров Бронислав Юлианович;Яр-Сале;ш. Шахтерское, д. 323;Railgo;Травматолог;+7 (433) 171-5186;gorde38@hotmail.com;1995-11-20;50099
